処理回数,処理時間
1000,0.000036
2000,0.000068
3000,0.000144
4000,0.000148
5000,0.000222
6000,0.000267
7000,0.000244
8000,0.000310
9000,0.000471
10000,0.000477
11000,0.000458
12000,0.000636
13000,0.000592
14000,0.000638
15000,0.000594
16000,0.000647
17000,0.000668
18000,0.000828
19000,0.000936
20000,0.001213
21000,0.000967
22000,0.000990
23000,0.001586
24000,0.001453
25000,0.001627
26000,0.001248
27000,0.001133
28000,0.001157
29000,0.001621
30000,0.001788
31000,0.001400
32000,0.001954
33000,0.002063
34000,0.003435
35000,0.001576
36000,0.001618
37000,0.001847
38000,0.002142
39000,0.002489
40000,0.001970
41000,0.002006
42000,0.001301
43000,0.001256
44000,0.001876
45000,0.001994
46000,0.002889
47000,0.002221
48000,0.001981
49000,0.002425
50000,0.001822
51000,0.002382
52000,0.002170
53000,0.001761
54000,0.001749
55000,0.002462
56000,0.001624
57000,0.001706
58000,0.002150
59000,0.002344
60000,0.002282
61000,0.001890
62000,0.002115
63000,0.002591
64000,0.001773
65000,0.003768
66000,0.002560
67000,0.002466
68000,0.002569
69000,0.002187
70000,0.003742
71000,0.003000
72000,0.002582
73000,0.002421
74000,0.002181
75000,0.002585
76000,0.003009
77000,0.002722
78000,0.002413
79000,0.002900
80000,0.002328
81000,0.003294
82000,0.003149
83000,0.003002
84000,0.003121
85000,0.002690
86000,0.003430
87000,0.003321
88000,0.003603
89000,0.002742
90000,0.003384
91000,0.003912
92000,0.003244
93000,0.003560
94000,0.004498
95000,0.003975
96000,0.003017
97000,0.002599
98000,0.002778
99000,0.004247
100000,0.004943

