実行回数,処理時間
1000,0.000132
2000,0.000328
3000,0.000551
4000,0.000754
5000,0.000930
6000,0.001045
7000,0.001702
8000,0.005528
9000,0.001694
10000,0.002111
11000,0.002009
12000,0.002310
13000,0.002165
14000,0.003153
15000,0.002014
16000,0.002939
17000,0.002854
18000,0.006143
19000,0.003775
20000,0.003733
21000,0.003075
22000,0.004043
23000,0.004899
24000,0.003985
25000,0.003301
26000,0.004842
27000,0.005612
28000,0.004696
29000,0.004597
30000,0.004163
31000,0.005016
32000,0.006893
33000,0.006015
34000,0.010494
35000,0.007111
36000,0.006597
37000,0.008348
38000,0.005434
39000,0.007122
40000,0.004762
41000,0.006388
42000,0.006967
43000,0.005088
44000,0.007060
45000,0.005833
46000,0.007868
47000,0.009083
48000,0.007997
49000,0.007914
50000,0.012385
51000,0.013575
52000,0.010482
53000,0.013263
54000,0.009018
55000,0.011079
56000,0.007975
57000,0.012159
58000,0.007792
59000,0.009589
60000,0.008245
61000,0.009113
62000,0.007484
63000,0.011138
64000,0.009573
65000,0.007436
66000,0.009526
67000,0.008778
68000,0.010749
69000,0.008889
70000,0.009075
71000,0.009812
72000,0.008304
73000,0.010279
74000,0.008761
75000,0.009725
76000,0.010384
77000,0.009844
78000,0.012274
79000,0.010757
80000,0.009411
81000,0.011423
82000,0.010432
83000,0.011022
84000,0.010862
85000,0.011038
86000,0.010045
87000,0.012763
88000,0.013785
89000,0.013083
90000,0.011705
91000,0.013051
92000,0.013032
93000,0.012785
94000,0.013010
95000,0.011406
96000,0.014244
97000,0.015048
98000,0.014819
99000,0.014982
100000,0.014603
